* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:22:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
13150.000000	89.641	-168.7639
13200.000000	89.705	-172.2353
13400.000000	89.615	174.5968
13600.000000	89.176	163.4344
13800.000000	88.597	153.9387
14000.000000	87.968	145.2776
14300.000000	86.945	132.6834
14500.000000	86.197	123.9896
14750.000000	85.119	112.2456
15000.000000	83.729	99.8517
15250.000000	81.906	87.8788
15500.000000	79.689	76.2358
15750.000000	77.269	62.3266
16000.000000	75.044	42.0647
16250.000000	73.885	12.8319
16500.000000	74.457	-23.6453
16750.000000	75.785	-62.1337
17000.000000	76.640	-97.3964
17250.000000	76.531	-125.2770
17500.000000	75.394	-141.7603
17750.000000	73.390	-143.1614
18000.000000	71.079	-129.1209
18250.000000	69.925	-106.3982
18500.000000	70.953	-85.6865
18750.000000	72.972	-72.9881
19000.000000	74.968	-68.2280
19250.000000	76.663	-69.2559
19500.000000	77.977	-73.8491
19750.000000	78.869	-79.5388
